competitor,rank,points,competition,event,score
Nool,8,8235,OlympicG,high jump,1.88
Nool,8,8235,OlympicG,400m,48.81
Nool,8,8235,OlympicG,110m hurdle,14.8
Nool,8,8235,OlympicG,discus,42.05
Nool,8,8235,OlympicG,pole vault,5.4
Nool,8,8235,OlympicG,javeline,61.33
Nool,8,8235,OlympicG,1500m,276.33
Bernard,9,8225,OlympicG,100m,10.69
Bernard,9,8225,OlympicG,long jump,7.48
Bernard,9,8225,OlympicG,shot put,14.8
Bernard,9,8225,OlympicG,high jump,2.12
Bernard,9,8225,OlympicG,400m,49.13
Bernard,9,8225,OlympicG,110m hurdle,14.17
Bernard,9,8225,OlympicG,discus,44.75
Bernard,9,8225,OlympicG,pole vault,4.4
Bernard,9,8225,OlympicG,javeline,55.27
Bernard,9,8225,OlympicG,1500m,276.31
Schwarzl,10,8102,OlympicG,100m,10.98
Schwarzl,10,8102,OlympicG,long jump,7.49
Schwarzl,10,8102,OlympicG,shot put,14.01
Schwarzl,10,8102,OlympicG,high jump,1.94
Schwarzl,10,8102,OlympicG,400m,49.76
Schwarzl,10,8102,OlympicG,110m hurdle,14.25
Schwarzl,10,8102,OlympicG,discus,42.43
Schwarzl,10,8102,OlympicG,pole vault,5.1
Schwarzl,10,8102,OlympicG,javeline,56.32
Schwarzl,10,8102,OlympicG,1500m,273.56
Pogorelov,11,8084,OlympicG,100m,10.95
Pogorelov,11,8084,OlympicG,long jump,7.31
Pogorelov,11,8084,OlympicG,shot put,15.1
Pogorelov,11,8084,OlympicG,high jump,2.06
Pogorelov,11,8084,OlympicG,400m,50.79
Pogorelov,11,8084,OlympicG,110m hurdle,14.21
Pogorelov,11,8084,OlympicG,discus,44.6
Pogorelov,11,8084,OlympicG,pole vault,5
Pogorelov,11,8084,OlympicG,javeline,53.45
Pogorelov,11,8084,OlympicG,1500m,287.63
Schoenbeck,12,8077,OlympicG,100m,10.9
Schoenbeck,12,8077,OlympicG,long jump,7.3
Schoenbeck,12,8077,OlympicG,shot put,14.77
Schoenbeck,12,8077,OlympicG,high jump,1.88
Schoenbeck,12,8077,OlympicG,400m,50.3
Schoenbeck,12,8077,OlympicG,110m hurdle,14.34
Schoenbeck,12,8077,OlympicG,discus,44.41
Schoenbeck,12,8077,OlympicG,pole vault,5
Schoenbeck,12,8077,OlympicG,javeline,60.89
Schoenbeck,12,8077,OlympicG,1500m,278.82
Barras,13,8067,OlympicG,100m,11.14
Barras,13,8067,OlympicG,long jump,6.99
Barras,13,8067,OlympicG,shot put,14.91
Barras,13,8067,OlympicG,high jump,1.94
Barras,13,8067,OlympicG,400m,49.41
Barras,13,8067,OlympicG,110m hurdle,14.37
Barras,13,8067,OlympicG,discus,44.83
Barras,13,8067,OlympicG,pole vault,4.6
Barras,13,8067,OlympicG,javeline,64.55
Barras,13,8067,OlympicG,1500m,267.09
Smith,14,8023,OlympicG,100m,10.85
Smith,14,8023,OlympicG,long jump,6.81
Smith,14,8023,OlympicG,shot put,15.24
Smith,14,8023,OlympicG,high jump,1.91
Smith,14,8023,OlympicG,400m,49.27
Smith,14,8023,OlympicG,110m hurdle,14.01
Smith,14,8023,OlympicG,discus,49.02
Smith,14,8023,OlympicG,pole vault,4.2
Smith,14,8023,OlympicG,javeline,61.52
Smith,14,8023,OlympicG,1500m,272.74
Averyanov,15,8021,OlympicG,100m,10.55
Averyanov,15,8021,OlympicG,long jump,7.34
Averyanov,15,8021,OlympicG,shot put,14.44
Averyanov,15,8021,OlympicG,high jump,1.94
Averyanov,15,8021,OlympicG,400m,49.72
Averyanov,15,8021,OlympicG,110m hurdle,14.39
Averyanov,15,8021,OlympicG,discus,39.88
Averyanov,15,8021,OlympicG,pole vault,4.8
Averyanov,15,8021,OlympicG,javeline,54.51
Averyanov,15,8021,OlympicG,1500m,271.02
Ojaniemi,16,8006,OlympicG,100m,10.68
Ojaniemi,16,8006,OlympicG,long jump,7.5
Ojaniemi,16,8006,OlympicG,shot put,14.97
Ojaniemi,16,8006,OlympicG,high jump,1.94
Ojaniemi,16,8006,OlympicG,400m,49.12
Ojaniemi,16,8006,OlympicG,110m hurdle,15.01
Ojaniemi,16,8006,OlympicG,discus,40.35
Ojaniemi,16,8006,OlympicG,pole vault,4.6
Ojaniemi,16,8006,OlympicG,javeline,59.26
Ojaniemi,16,8006,OlympicG,1500m,275.71
Smirnov,17,7993,OlympicG,100m,10.89
Smirnov,17,7993,OlympicG,long jump,7.07
Smirnov,17,7993,OlympicG,shot put,13.88
Smirnov,17,7993,OlympicG,high jump,1.94
Smirnov,17,7993,OlympicG,400m,49.11
Smirnov,17,7993,OlympicG,110m hurdle,14.77
Smirnov,17,7993,OlympicG,discus,42.47
Smirnov,17,7993,OlympicG,pole vault,4.7
Smirnov,17,7993,OlympicG,javeline,60.88
Smirnov,17,7993,OlympicG,1500m,263.31
Qi,18,7934,OlympicG,100m,11.06
Qi,18,7934,OlympicG,long jump,7.34
Qi,18,7934,OlympicG,shot put,13.55
Qi,18,7934,OlympicG,high jump,1.97
Qi,18,7934,OlympicG,400m,49.65
Qi,18,7934,OlympicG,110m hurdle,14.78
Qi,18,7934,OlympicG,discus,45.13
Qi,18,7934,OlympicG,pole vault,4.5
Qi,18,7934,OlympicG,javeline,60.79
Qi,18,7934,OlympicG,1500m,272.63
Drews,19,7926,OlympicG,100m,10.87
Drews,19,7926,OlympicG,long jump,7.38
Drews,19,7926,OlympicG,shot put,13.07
Drews,19,7926,OlympicG,high jump,1.88
Drews,19,7926,OlympicG,400m,48.51
Drews,19,7926,OlympicG,110m hurdle,14.01
Drews,19,7926,OlympicG,discus,40.11
Drews,19,7926,OlympicG,pole vault,5
Drews,19,7926,OlympicG,javeline,51.53
Drews,19,7926,OlympicG,1500m,274.21
Parkhomenko,20,7918,OlympicG,100m,11.14
Parkhomenko,20,7918,OlympicG,long jump,6.61
Parkhomenko,20,7918,OlympicG,shot put,15.69
Parkhomenko,20,7918,OlympicG,high jump,2.03
Parkhomenko,20,7918,OlympicG,400m,51.04
Parkhomenko,20,7918,OlympicG,110m hurdle,14.88
Parkhomenko,20,7918,OlympicG,discus,41.9
Parkhomenko,20,7918,OlympicG,pole vault,4.8
Parkhomenko,20,7918,OlympicG,javeline,65.82
Parkhomenko,20,7918,OlympicG,1500m,277.94
Terek,21,7893,OlympicG,100m,10.92
Terek,21,7893,OlympicG,long jump,6.94
Terek,21,7893,OlympicG,shot put,15.15
Terek,21,7893,OlympicG,high jump,1.94
Terek,21,7893,OlympicG,400m,49.56
Terek,21,7893,OlympicG,110m hurdle,15.12
Terek,21,7893,OlympicG,discus,45.62
Terek,21,7893,OlympicG,pole vault,5.3
Terek,21,7893,OlympicG,javeline,50.62
Terek,21,7893,OlympicG,1500m,290.36
Gomez,22,7865,OlympicG,100m,11.08
Gomez,22,7865,OlympicG,long jump,7.26
Gomez,22,7865,OlympicG,shot put,14.57
Gomez,22,7865,OlympicG,high jump,1.85
Gomez,22,7865,OlympicG,400m,48.61
Gomez,22,7865,OlympicG,110m hurdle,14.41
Gomez,22,7865,OlympicG,discus,40.95
Gomez,22,7865,OlympicG,pole vault,4.4
Gomez,22,7865,OlympicG,javeline,60.71
Gomez,22,7865,OlympicG,1500m,269.7
Turi,23,7708,OlympicG,100m,11.08
Turi,23,7708,OlympicG,long jump,6.91
Turi,23,7708,OlympicG,shot put,13.62
Turi,23,7708,OlympicG,high jump,2.03
Turi,23,7708,OlympicG,400m,51.67
Turi,23,7708,OlympicG,110m hurdle,14.26
Turi,23,7708,OlympicG,discus,39.83
Turi,23,7708,OlympicG,pole vault,4.8
Turi,23,7708,OlympicG,javeline,59.34
Turi,23,7708,OlympicG,1500m,290.01
Lorenzo,24,7592,OlympicG,100m,11.1
Lorenzo,24,7592,OlympicG,long jump,7.03
Lorenzo,24,7592,OlympicG,shot put,13.22
Lorenzo,24,7592,OlympicG,high jump,1.85
Lorenzo,24,7592,OlympicG,400m,49.34
Lorenzo,24,7592,OlympicG,110m hurdle,15.38
Lorenzo,24,7592,OlympicG,discus,40.22
Lorenzo,24,7592,OlympicG,pole vault,4.5
Lorenzo,24,7592,OlympicG,javeline,58.36
Lorenzo,24,7592,OlympicG,1500m,263.08
Karlivans,25,7583,OlympicG,100m,11.33
Karlivans,25,7583,OlympicG,long jump,7.26
Karlivans,25,7583,OlympicG,shot put,13.3
Karlivans,25,7583,OlympicG,high jump,1.97
Karlivans,25,7583,OlympicG,400m,50.54
Karlivans,25,7583,OlympicG,110m hurdle,14.98
Karlivans,25,7583,OlympicG,discus,43.34
Karlivans,25,7583,OlympicG,pole vault,4.5
Karlivans,25,7583,OlympicG,javeline,52.92
Karlivans,25,7583,OlympicG,1500m,278.67
Korkizoglou,26,7573,OlympicG,100m,10.86
Korkizoglou,26,7573,OlympicG,long jump,7.07
Korkizoglou,26,7573,OlympicG,shot put,14.81
Korkizoglou,26,7573,OlympicG,high jump,1.94
Korkizoglou,26,7573,OlympicG,400m,51.16
Korkizoglou,26,7573,OlympicG,110m hurdle,14.96
Korkizoglou,26,7573,OlympicG,discus,46.07
Korkizoglou,26,7573,OlympicG,pole vault,4.7
Korkizoglou,26,7573,OlympicG,javeline,53.05
Korkizoglou,26,7573,OlympicG,1500m,317
Uldal,27,7495,OlympicG,100m,11.23
Uldal,27,7495,OlympicG,long jump,6.99
Uldal,27,7495,OlympicG,shot put,13.53
Uldal,27,7495,OlympicG,high jump,1.85
Uldal,27,7495,OlympicG,400m,50.95
Uldal,27,7495,OlympicG,110m hurdle,15.09
Uldal,27,7495,OlympicG,discus,43.01
Uldal,27,7495,OlympicG,pole vault,4.5
Uldal,27,7495,OlympicG,javeline,60
Uldal,27,7495,OlympicG,1500m,281.7
Casarsa,28,7404,OlympicG,100m,11.36
Casarsa,28,7404,OlympicG,long jump,6.68
Casarsa,28,7404,OlympicG,shot put,14.92
Casarsa,28,7404,OlympicG,high jump,1.94
Casarsa,28,7404,OlympicG,400m,53.2
Casarsa,28,7404,OlympicG,110m hurdle,15.39
Casarsa,28,7404,OlympicG,discus,48.66
Casarsa,28,7404,OlympicG,pole vault,4.4
Casarsa,28,7404,OlympicG,javeline,58.62
Casarsa,28,7404,OlympicG,1500m,296.12
