cake,ingredient,quantity,measure
Hungarian Cream,Sifted flour,3,cup
Hungarian Cream,Heavy cream,2,cup
Hungarian Cream,Granulated sugar,1.5,cup
Hungarian Cream,Salt,1,teaspoon
Hungarian Cream,Vanilla extract,2,teaspoon
Crumb and Nut,Baking powder,3,teaspoon
Crumb and Nut,Crumbs,3,cup
Crumb and Nut,Eggs,4,one
Crumb and Nut,Milk,1,cup
Crumb and Nut,Nuts,1,cup
Crumb and Nut,Shortening,1,tablespoon
Crumb and Nut,Granulated sugar,1,cup
Crumb and Nut,Vanilla extract,2,teaspoon
Spiced Pound,Butter,1,cup
Spiced Pound,Eggs,5,one
Spiced Pound,Sifted flour,2,cup
Spiced Pound,Nutmeg,1.5,teaspoon
Spiced Pound,Granulated sugar,1.7,cup
Spiced Pound,Salt,0.5,teaspoon
Strawberry Roll,Baking powder,0.75,teaspoon
Strawberry Roll,Cottage Cheese,0.5,pound
Strawberry Roll,Eggs,4,one
Strawberry Roll,Sifted flour,0.75,cup
Strawberry Roll,Granulated sugar,0.75,cup
Strawberry Roll,Strawberries,1,quart
Strawberry Roll,Salt,1,teaspoon
Strawberry Roll,Vanilla extract,1,teaspoon
Savarin,Butter,0.7,cup
Savarin,Eggs,3,one
Savarin,Sifted flour,1.5,cup
Savarin,Lemon rind,1,teaspoon
Savarin,Milk,0.25,cup
Savarin,Granulated sugar,0.6,cup
Savarin,Salt,0.5,teaspoon
Savarin,Water,0.25,cup
Savarin,Yeast,1,ounce
Banana Shortcake,Baking powder,4,teaspoon
Banana Shortcake,Butter,0.6,cup
Banana Shortcake,Bananas,3,one
Banana Shortcake,Sifted flour,3,cup
Banana Shortcake,Heavy cream,1,cup
Banana Shortcake,Milk,1,cup
Banana Shortcake,Granulated sugar,0.13,cup
Banana Shortcake,Salt,0.5,teaspoon
Strawberry Shortcake,Baking powder,3,teaspoon
Strawberry Shortcake,Butter,0.12,cup
Strawberry Shortcake,Cottage Cheese,0.2,pound
Strawberry Shortcake,Eggs,1,one
Strawberry Shortcake,Sifted flour,2,cup
Strawberry Shortcake,Milk,0.5,cup
Strawberry Shortcake,Sour cream ,1,cup
Strawberry Shortcake,Granulated sugar,0.6,cup
Strawberry Shortcake,Strawberries,1,quart
Strawberry Shortcake,Salt,0.75,teaspoon
Sponge,Almond essence,0.5,teaspoon
Sponge,Baking powder,1,teaspoon
Sponge,Eggs,4,one
Sponge,Sifted flour,0.75,cup
Sponge,Granulated sugar,0.75,cup
Sponge,Salt,0.25,teaspoon
Sponge,Water,2,cup
