person_id,test_time,education,childhood,gender,age,hand,familysize,rwa
255,177,Less than high school,Suburban,Female,28,Right,2,2.3
256,190,Less than high school,Rural (country side),Male,24,Right,1,7.2
257,190,High school,"Urban (town, city)",Male,19,Right,1,7.45
258,125,Graduate degree,Suburban,Female,40,Both,2,1.65
259,283,University degree,Rural (country side),Male,37,Right,2,2.3
260,161,University degree,"Urban (town, city)",Male,26,Right,2,1.7
261,272,Less than high school,Suburban,Male,20,Right,5,5.7
262,116,High school,Rural (country side),Male,31,Right,2,2.05
263,136,Graduate degree,"Urban (town, city)",Male,35,Right,2,1.4
264,267,University degree,Suburban,Female,24,Right,2,1.25
265,161,High school,Suburban,Male,21,Right,1,1.4
266,133,University degree,Suburban,Male,32,Right,3,1.1
267,177,High school,Suburban,Male,45,Right,3,2.25
268,131,Less than high school,"Urban (town, city)",Male,14,Right,2,2.8
269,189,University degree,Suburban,Male,24,Right,3,2.15
270,197,University degree,Suburban,Male,48,Right,2,2.75
271,120,Graduate degree,Suburban,Male,25,Right,1,1.2
272,216,Graduate degree,"Urban (town, city)",Male,33,Right,1,3.3
273,175,University degree,Suburban,Male,44,Right,2,1.15
274,NA,University degree,Suburban,Male,26,Right,2,1.75
275,188,Graduate degree,Suburban,Male,44,Right,1,1.4
276,164,University degree,Suburban,Male,33,Right,2,1.9
277,250,University degree,Suburban,Male,30,Right,2,2.75
278,234,Graduate degree,Suburban,Male,23,Right,3,1.7
279,318,University degree,Suburban,Male,28,Right,3,1.85
280,401,High school,Rural (country side),Male,29,Right,4,2.8
281,216,High school,"Urban (town, city)",Male,48,Right,3,1.7
282,344,High school,"Urban (town, city)",Male,33,Right,3,2.4
283,359,University degree,Suburban,Male,33,Left,3,2.6
284,172,Graduate degree,"Urban (town, city)",Male,27,Right,2,2.05
285,293,Graduate degree,"Urban (town, city)",Male,26,Left,1,3.7
286,170,University degree,Rural (country side),Male,24,Right,2,1.3
287,228,High school,Suburban,Male,23,Right,3,2.8
288,216,University degree,Suburban,Male,42,Left,13,2.4
289,154,University degree,Suburban,Male,29,Right,2,1.9
290,288,University degree,Suburban,Male,26,Right,2,1.75
291,152,University degree,"Urban (town, city)",Male,25,Right,2,2.05
292,191,Graduate degree,"Urban (town, city)",Male,29,Right,2,1.55
293,128,Graduate degree,Suburban,Male,27,Right,2,2.5
294,244,University degree,"Urban (town, city)",Male,20,Right,3,1.35
295,324,High school,Rural (country side),Male,18,Right,1,1.45
296,218,University degree,"Urban (town, city)",Male,24,Right,1,2.35
297,330,High school,Rural (country side),Male,20,Right,2,1.9
298,NA,High school,"Urban (town, city)",Male,29,Right,2,2.1
299,310,High school,Rural (country side),Male,27,Left,3,2.2
300,95,University degree,Rural (country side),Male,34,Right,1,2.2
301,169,University degree,Suburban,Male,33,Right,1,2.95
302,NA,High school,Suburban,Female,33,Right,1,2.35
303,397,High school,"Urban (town, city)",Male,21,Right,4,3.7
304,111,High school,Suburban,Male,41,Right,2,1.35
305,202,University degree,"Urban (town, city)",Male,39,Right,2,1.95
306,114,High school,Rural (country side),Male,20,Right,2,1.35
307,109,High school,"Urban (town, city)",Male,45,Left,4,1.3
308,205,University degree,Suburban,Male,25,Right,2,1.1
309,239,University degree,Rural (country side),Male,35,Right,3,1.5
310,134,University degree,"Urban (town, city)",Male,27,Right,1,1
311,197,Graduate degree,Rural (country side),Male,23,Right,3,3.75
312,173,Less than high school,Rural (country side),Male,18,Right,2,2.05
313,124,University degree,Suburban,Female,39,Right,2,1.15
314,274,Graduate degree,Suburban,Female,27,Right,2,1.7
315,296,University degree,Suburban,Male,28,Right,3,2.05
316,205,Graduate degree,Rural (country side),Female,32,Right,2,1.35
317,194,University degree,Suburban,Male,23,Left,3,1.55
318,146,High school,Suburban,Female,22,Right,1,1.85
319,217,University degree,Suburban,Male,24,Right,2,2.25
320,135,Graduate degree,Suburban,Male,36,Right,2,1.85
321,184,University degree,Suburban,Male,34,Right,2,1.9
322,264,Less than high school,Suburban,Female,24,Right,1,2.85
323,84,University degree,Suburban,Male,27,Right,2,1
324,174,Graduate degree,Rural (country side),Male,27,Right,3,1.95
325,111,University degree,Rural (country side),Male,35,Left,2,1.35
326,392,High school,Rural (country side),Male,19,Right,2,1.45
327,345,High school,"Urban (town, city)",Male,24,Right,2,2.45
328,154,University degree,Suburban,Male,21,Right,2,1.6
329,234,University degree,Suburban,Male,27,Right,3,2.5
330,184,University degree,Rural (country side),Male,29,Right,3,1.75
331,256,University degree,Suburban,Male,31,Right,3,2.95
332,468,University degree,Suburban,Male,26,Right,3,1.05
333,189,University degree,Suburban,Female,21,Right,2,1.6
334,264,High school,Rural (country side),Male,18,Right,2,2.8
335,199,University degree,Rural (country side),Male,26,Right,3,1.6
336,148,High school,"Urban (town, city)",Male,40,Right,2,2
337,129,University degree,"Urban (town, city)",Female,24,Right,2,3.2
338,516,High school,Suburban,Male,24,Right,5,1.85
339,357,Graduate degree,Rural (country side),Male,24,Right,1,3.25
340,191,High school,Suburban,Male,23,Right,2,1.9
341,170,High school,Suburban,Male,28,Right,2,1.4
342,301,University degree,Suburban,Male,21,Right,4,1.65
343,158,High school,Rural (country side),Male,20,Left,3,2.9
344,135,High school,Suburban,Male,26,Right,2,1.5
345,181,High school,Suburban,Male,31,Right,2,2.7
346,169,University degree,Rural (country side),Male,25,Right,2,1.35
347,295,University degree,Suburban,Male,22,Left,3,1.5
348,354,High school,"Urban (town, city)",Male,29,Right,2,1.55
349,310,High school,Rural (country side),Female,47,Right,2,1.5
350,127,Graduate degree,Suburban,Male,34,Right,2,1.65
351,226,University degree,"Urban (town, city)",Male,41,Right,2,2.9
352,246,University degree,Rural (country side),Male,24,Left,2,1.65
353,190,University degree,Suburban,Male,36,Right,3,1.75
354,388,Graduate degree,Suburban,Male,28,Right,NA,1.4
355,304,High school,Suburban,Male,27,Right,2,2.35
356,136,University degree,Suburban,Male,24,Right,3,1.6
357,301,University degree,Suburban,Male,32,Left,3,2.5
358,180,High school,"Urban (town, city)",Male,36,Left,4,1.85
359,139,High school,Suburban,Male,24,Right,1,1.3
360,229,High school,Suburban,Male,22,Right,2,2.15
361,184,University degree,Rural (country side),Female,29,Right,4,1.45
362,194,Less than high school,Rural (country side),Female,20,Right,2,2.2
363,217,University degree,Suburban,Female,31,Right,3,1.95
364,99,University degree,Rural (country side),Female,32,Left,4,1.55
365,358,High school,Rural (country side),Male,27,Left,3,1.55
366,171,Less than high school,Suburban,Male,15,Right,1,2.85
367,318,High school,Rural (country side),Female,29,Right,2,1.7
368,108,Graduate degree,Suburban,Male,26,Right,2,1.35
369,159,Graduate degree,Suburban,Female,32,Right,2,1.25
370,158,University degree,Rural (country side),Male,24,Right,2,2.95
371,185,University degree,Rural (country side),Female,26,Right,4,1.3
372,NA,University degree,"Urban (town, city)",Male,25,Right,3,1.65
373,126,Graduate degree,"Urban (town, city)",Male,31,Right,4,1.2
374,140,University degree,Rural (country side),Male,44,Right,3,1.4
375,288,Graduate degree,Suburban,Male,26,Left,2,1.25
376,199,High school,Suburban,Male,22,Right,2,2.6
377,143,University degree,Suburban,Male,23,Left,4,2.55
378,123,University degree,"Urban (town, city)",Male,30,Right,1,1.1
379,189,University degree,Suburban,Female,24,Right,1,3.1
380,433,High school,Rural (country side),Male,27,Right,2,1.8
381,182,University degree,Rural (country side),Male,54,Right,3,1.25
382,135,University degree,Suburban,Male,26,Right,2,1.25
383,529,University degree,Suburban,Male,27,Right,1,3.15
384,221,High school,"Urban (town, city)",Male,22,Right,2,2.1
385,136,High school,Suburban,Male,37,Right,2,1.6
386,107,High school,Suburban,Male,20,Left,4,2.5
387,NA,Less than high school,"Urban (town, city)",Male,15,Right,1,3.1
388,256,High school,Suburban,Male,20,Right,2,2.3
389,128,University degree,Suburban,Male,25,Right,2,2.85
390,289,High school,Suburban,Male,19,Right,3,4.85
391,186,University degree,Rural (country side),Male,40,Right,4,2.05
392,146,University degree,Suburban,Male,32,Right,3,1.15
393,225,Graduate degree,"Urban (town, city)",Male,49,Right,2,4.2
394,372,High school,Suburban,Male,35,Right,4,1.85
395,182,University degree,Suburban,Male,26,Right,2,1.55
396,116,High school,Rural (country side),Male,21,Right,3,1.65
397,175,High school,Suburban,Male,23,Right,2,1.85
398,140,Graduate degree,Rural (country side),Male,31,Left,2,1.45
399,277,High school,Rural (country side),Male,33,Left,1,1.3
400,149,University degree,Suburban,Male,26,Right,3,1.1
401,178,University degree,Suburban,Female,30,Right,2,1.5
402,133,High school,Suburban,Male,21,Left,3,2.15
403,276,High school,"Urban (town, city)",Female,36,Left,4,1.8
404,186,University degree,Suburban,Male,36,Right,1,2.2
405,192,High school,Rural (country side),Male,20,Right,3,1.3
406,173,High school,Suburban,Male,43,Right,1,2
407,177,University degree,"Urban (town, city)",Male,34,Right,3,1
408,146,Less than high school,Suburban,Male,17,Right,2,2.25
409,127,High school,"Urban (town, city)",Male,25,Right,4,1.05
410,171,High school,Suburban,Male,20,Left,3,1
411,183,Graduate degree,Suburban,Male,28,Right,1,1.05
412,172,University degree,Suburban,Male,24,Right,3,1.25
413,158,High school,Rural (country side),Male,21,Right,2,1.6
414,169,High school,Rural (country side),Male,19,Right,4,1.95
415,223,Graduate degree,Suburban,Male,29,Both,4,2.95
416,149,University degree,Rural (country side),Male,31,Right,2,1.55
417,115,University degree,Suburban,Male,27,Right,2,1
418,173,High school,Suburban,Male,29,Right,4,1.5
419,126,University degree,Suburban,Male,25,Right,2,1.6
420,143,University degree,"Urban (town, city)",Female,21,Right,2,1.55
421,393,University degree,Rural (country side),Male,27,Right,2,2.8
422,106,High school,Suburban,Male,30,Left,1,1
423,111,University degree,Suburban,Female,30,Right,3,1
424,145,Less than high school,"Urban (town, city)",Male,35,Left,1,1.2
425,157,University degree,Suburban,Male,23,Right,3,1.85
426,152,High school,Rural (country side),Male,20,Right,2,1.4
427,235,High school,"Urban (town, city)",Male,21,Both,4,2.4
428,252,Less than high school,Rural (country side),Male,24,Right,1,1.05
429,154,University degree,Suburban,Male,25,Right,2,1.8
430,288,University degree,"Urban (town, city)",Male,29,Right,3,2.8
431,136,University degree,Suburban,Female,47,Right,3,1.45
432,330,High school,Rural (country side),Male,20,Right,2,1.3
433,115,Graduate degree,Suburban,Male,33,Right,2,1.2
434,282,University degree,Rural (country side),Male,27,Left,2,1.5
435,NA,High school,"Urban (town, city)",Female,20,Right,2,3.6
436,212,Graduate degree,"Urban (town, city)",Male,38,Right,3,1.9
437,110,Graduate degree,Rural (country side),Male,23,Right,2,6.5
438,130,High school,"Urban (town, city)",Male,27,Right,3,1.05
439,255,University degree,Rural (country side),Female,22,Right,1,1.75
440,270,High school,Rural (country side),Male,18,Right,2,2.7
441,209,Graduate degree,Rural (country side),Male,42,Right,3,2.7
442,185,University degree,Suburban,Male,24,Right,2,1.6
443,227,High school,Suburban,Male,30,Right,1,1
444,192,University degree,Rural (country side),Female,39,Right,1,1.6
445,184,University degree,Rural (country side),Male,33,Right,3,1.2
446,167,Less than high school,Suburban,Other,25,Right,2,1.5
447,263,High school,Suburban,Male,28,Right,5,1.65
448,150,High school,Rural (country side),Male,56,Right,4,2.05
449,246,Graduate degree,Suburban,Female,27,Left,3,1.4
450,208,University degree,Rural (country side),Male,38,Right,3,2.8
451,101,University degree,Suburban,Male,20,Right,3,1.1
452,121,University degree,Suburban,Female,22,Right,3,3.5
453,215,Less than high school,Rural (country side),Male,28,Right,3,2.65
454,160,Graduate degree,Suburban,Male,37,NA,3,3.1
455,183,University degree,Suburban,Female,34,Right,2,1.9
456,517,High school,"Urban (town, city)",Female,21,Right,1,1.8
457,246,High school,Suburban,Male,23,Right,1,1.7
458,171,High school,Suburban,Male,22,Right,4,1.35
459,332,Less than high school,Suburban,Male,45,Right,3,3.05
460,355,University degree,Rural (country side),Male,23,Right,1,2.5
461,120,University degree,Suburban,Female,37,Left,1,1.1
462,186,High school,"Urban (town, city)",Male,25,Left,3,2.75
463,245,University degree,Rural (country side),Male,37,Right,2,2.05
464,100,High school,"Urban (town, city)",Male,21,Right,1,1.6
465,197,University degree,Suburban,Male,39,Right,2,3.1
466,NA,University degree,Rural (country side),Female,34,Right,2,1.6
467,190,University degree,Suburban,Male,26,Right,1,2.8
468,170,Graduate degree,"Urban (town, city)",Male,35,Right,4,1.65
469,NA,University degree,"Urban (town, city)",Male,24,Both,3,4.5
470,141,High school,Suburban,Female,19,Right,2,1
471,136,University degree,"Urban (town, city)",Male,29,Right,2,1.7
472,245,High school,Suburban,Male,21,Right,4,1.65
473,366,High school,Suburban,Male,17,Both,5,1.95
474,144,High school,Rural (country side),Male,20,Both,4,2.3
475,211,High school,Suburban,Male,19,Right,3,1.2
476,193,High school,Rural (country side),Male,18,Left,2,1.4
477,341,High school,Rural (country side),Female,25,NA,4,2.1
478,332,Less than high school,"Urban (town, city)",Male,16,Right,1,1.35
479,95,University degree,Suburban,Male,24,Right,2,1.75
